#PFAS		12	13	14	15	16	17	18	19	20	21	22	23	24	?PFAS
PFBA	2019	7.2	7.6	7.9	7.3	7.5	3.8	7.4	3.8	4.5	7.7	3.3	1.5	1.4	71
	2021	7.8	9.3	8.6	7.3	8.4	8.2	8.8	2.7	7.9	2.4	7.9	7.5	7.3	94
PFBS	2019	9.5	9.8	10	12	10	9.4	9.7	3.8	9.4	9.8	3.8	3	3	102
	2021	10	10	13	9.1	11	11	12	9.8	11	9.2	13	12	9.3	139
PFPeA	2019	9.6	8.1	11	12	11	9	11	11	9.3	7.9	3.9	3.2	3.1	109
	2021	9.7	12	12	10	11	11	13	8.5	13	7.6	13	11	15	147
PFPeS	2019	1.8	6.9	7.3	6.6	6.7	1.9	7.2	6.7	1.8	6.7	1.4	0.8	1.9	57
	2021	7.1	0	0	6.8	1.9	7.1	7.6	7	7	6.5	8	1.8	1.5	62
PFHxA	2019	6.8	7.3	7.4	7.5	8.2	6.7	8.8	7.6	7.1	8.4	5.3	4.8	4.8	91
	2021	8.2	8.4	8.7	8.4	8.9	8.9	9.3	8.1	6.8	8.5	8.8	6.9	6.9	107
PFHxS	2019	15	15	13	14	13	14	17	14	15	19	12	9.1	14	183
	2021	18	19	17	16	17	17	22	18	12	13	13	13	12	206
PFHxPA	2019	16	18	15	14	14	15	15	16	14	20	13	11	15	195
	2021	18	17	22	21	15	18	20	16	11	13	7.6	13	12	214
PFHpA	2019	5.9	6.3	5.9	6.1	6.3	6.2	7.2	6.6	6.6	7.6	5.2	4.1	3	77
	2021	7.3	7.2	7.6	7.3	6.8	7.2	8.2	7.5	6.5	7	7.6	6.6	6.2	93
Oak 6	2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0.7	0	4.5	0	0.5	2.5	0.4	8.7
PFHpS	2019	0.5	0.7	0.5	0.5	0.6	0.4	0	0.6	0.5	2.6	0	0.5	0.7	8.2
	2021	0.5	0.5	1	0.5	0.5	0.9	0	0.5	0.4	0	0.4	0.9	0	6.1
Syn 53	2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4MOA	2019	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1
	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFOA	2019	6.3	7.1	6.1	6.6	7.3	6.2	7.1	6.8	7.3	14	6.6	5.6	5.7	92
	2021	7.8	8.3	10	8.6	7.3	8.6	9.4	8.9	7.3	7.8	8.1	9.5	6.7	108
L-PFOS	2019	12	2	12	11	30	11	15	13	27	117	9.9	9.7	27	316
	2021	14	17	36	18	14	32	15	12	16	14	14	41	12	253
BrPFOS	2019	6.3	9.5	1.9	6.1	11	6.3	6.2	6.5	9	31	1.9	6	8.1	110
	2021	6.5	6.8	14	7.1	6.8	11	7.1	6.4	6.4	1.7	6.9	17	6.3	104
PFNA	2019	0.7	1.2	0.7	0.6	1.7	0.7	0.8	0.8	1.8	8.8	1.1	0.9	1.7	22
	2021	1.1	1.4	2.9	1.5	1.3	2.5	1.6	1.2	1.1	1.5	1.6	3.9	1.2	23
PFUdA	2019	0	0.3	0	0	0.3	0	0	0	0.3	0.7	0	0	0.5	2.1
	2021	0	0.2	0.4	0	0	0.2	0	0	0	0	0	0.3	0	1.1
PFDA	2019	0.3	1	0.3	0.3	1.2	0.3	0.4	0.3	1.2	4.1	0.5	0.4	1.9	12
	2021	0.5	0.6	1.6	0.7	0.5	1.1	0.9	0.6	0.5	0.3	0.5	1.7	0.5	10
PFDoA	2019	0	0	0	0	0	0	0	0	0	0.5	0	0	0.3	0.7
	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-etFOSAA	2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
