#PFAS		25	26	27	28	29	30	31	32	33	?PFAS
PFBA	2019	2	2	1.6	2.7	2.3	1.4	2.6	7.4	7.2	29
	2021	4	7.5	7.2	5.8	5.9	3.9	6.8	6	5.9	53
PFBS	2019	3.4	2.6	3.8	3.3	3.2	2.3	10	9.5	9.7	48
	2021	9.2	10	13	9.8	9.3	3.6	11	10	12	89
PFPeA	2019	6.4	3.4	3.3	3.8	6.2	3.4	7.8	8.6	9.1	52
	2021	8.6	9.8	12	16	7.8	6.9	10	9.2	9	89
PFPeS	2019	1.3	1.3	1.1	0	1.3	0.8	1.7	1.6	1.4	11
	2021	1.6	0	1.4	1.8	1.5	1.2	6.5	1.7	1.6	17
PFHxA	2019	4.7	4.3	4.4	3.2	4.1	3.5	5.7	6	6.7	42
	2021	6.7	6.6	9.3	5.3	4.7	3.6	8.1	6.6	6.5	57
PFHxS	2019	8.2	9.4	7.4	6.7	8.2	8.7	12	9.1	11	81
	2021	9.3	13	5.7	11	10	8.7	15	11	12	96
PFHxPA	2019	9.3	12	9.7	9.6	9.6	10	15	11	12	98
	2021	12	11	6.7	8.2	10	9.6	14	14	12	98
PFHpA	2019	3.8	4.1	3.7	3	3.8	2.9	5.3	5.5	5.5	38
	2021	6.3	5.8	5.8	4.9	4.2	3.8	6	6.1	6	49
Oak 6	2019	0	0	0	0	0	0	0	0	0	0
	2021	3.9	2	0.8	8.7	2.7	0.4	5.9	1.5	0.7	27
PFHpS	2019	0	0	0.6	6.7	0.5	0	0.8	0	0.3	8.9
	2021	0.4	0.7	0.4	0.3	0	0.5	0.3	0.4	0.4	3.4
Syn 53	2019	0	0	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0	0	0
P4MOA	2019	0	0	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0	0	0
PFOA	2019	6.2	6.8	7.5	5.9	6.7	5.5	7.4	7	6.4	59
	2021	8.1	7.4	9.3	6.3	6	5.9	7.3	6.7	6.9	64
L-PFOS	2019	12	19	35	16	16	17	0.8	36	10	162
	2021	24	18	7.3	11	10	9.6	15	9.6	17	122
BrPFOS	2019	6.1	8.5	11	7.2	7.2	7.8	9.1	1	6.4	64
	2021	9.7	8.9	1.4	1.7	2	6	6.5	6.3	6.3	49
PFNA	2019	1	1.7	2.7	1.7	1.5	1.4	1.1	2.3	0.9	14
	2021	1.9	1.5	1.2	1	1	1.3	1.3	0.9	1.4	12
PFUdA	2019	0	0.2	0.3	0	0	0	0	0	0	0.5
	2021	0.3	0.2	0	0	0	0	0	0	0.2	0.7
PFDA	2019	0.5	0.9	1.5	0.5	0.8	1.1	0.7	1.3	0.3	7.6
	2021	1.1	0.8	0.4	0.6	0.4	0.5	0.5	0.4	1.2	5.9
PFDoA	2019	0	0	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0	0	0
N-etFOSAA	2019	0	0	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0	0	0
