#PFAS		34	35	36	37	38	39	40	?PFAS
PFBA	2019	3.7	4.1	3.7	1.2	2.3	1.9	2.4	19
	2021	3.8	5.9	5.8	8	4.3	4.8	2.1	35
PFBS	2019	3.8	12	10	2.4	9.1	11	1.5	50
	2021	11	10	13	15	3.8	12	2.5	67
PFPeA	2019	7.6	13	7.9	3.5	7.3	6.7	2.5	49
	2021	6.9	9.7	11	11	17	8.5	7.5	72
PFPeS	2019	1.3	1.4	1.2	0.9	1.4	0.5	0	6.7
	2021	1.7	1.2	2.1	2	0	1.4	0	8.4
PFHxA	2019	5.3	9.3	6.4	3.8	6.5	4.6	1.5	37
	2021	6	7.3	7.1	7.1	4.8	7.1	2.6	42
PFHxS	2019	8.8	7.5	13	6.3	11	4.3	0	51
	2021	9.8	9.3	12	11	8.3	9.2	4.2	64
PFHxPA	2019	12	9.3	13	7	13	7.3	0	62
	2021	14	9.8	14	15	10	9.9	3.4	76
PFHpA	2019	5.3	7.4	6	3.6	5.9	3.4	1.2	33
	2021	6.5	6.1	6	6.8	4.1	5.6	2.1	37
Oak 6	2019	0	0	0	0	0	0	0	0
	2021	0	0	1.1	0	2.9	0.6	0.6	5.2
PFHpS	2019	0.4	0.4	0.6	0	0	0.4	0	1.8
	2021	0.5	0.4	0	0	0.4	0	0	1.3
Syn 53	2019	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0
P4MOA	2019	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0
PFOA	2019	6	11	7	4.1	7.3	8.5	1.9	46
	2021	7.8	8.9	7.9	8.4	6	6.5	2.7	48
L-PFOS	2019	11	17	11	11	18	18	1	87
	2021	16	12	19	18	17	11	7.1	100
BrPFOS	2019	1.8	7.6	2	5.9	6.2	9	0	33
	2021	7.2	6.3	9	9.2	6.5	1.2	0.8	40
PFNA	2019	0.8	1.5	1	0.9	1.5	2.1	0.4	8.2
	2021	1.9	1.5	1.5	1.4	1	1.1	0.5	8.9
PFUdA	2019	0	0	0	0	0.2	0	0	0.2
	2021	0	0	0	0	0.2	0	0	0.2
PFDA	2019	0.4	0.8	0.6	0.4	1.4	1	0	4.6
	2021	0.8	0.6	1	0.7	0.8	0.7	0.3	4.9
PFDoA	2019	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0
N-etFOSAA	2019	0	0	0	0	0	0	0	0
	2021	0	0	0	0	0	0	0	0
